,VISIT_AREA_NM,VISIT_AREA_TYPE_CD
843,수원화성 팔달문,2
844,수원화성 화서문,2
845,수원화성 화서문 안내소,2
846,수원화성 화서문-화홍문 성곽길,2
847,수원화성 화홍문,2
848,수원화성 화홍문 미디어아트,2
849,수원화성 화홍문 안내소,2
850,수원화성(서장대-화서문),2
851,수원화성미디어아트쇼,8
852,수원화성박물관,2
853,수지생태공원,1
854,수진사,2
855,수풀로 양수리,1
856,수피,13
857,숙소인근산책로,7
858,순라길,7
859,순우리 한우,13
860,순포해수욕장,1
861,숭례문,2
862,숲속 놀이터,7
863,쉐라톤그랜드 인천호텔 6층 수영장,6
864,쉬자파크,7
865,쉬즈웰 craft,13
866,슈팅몬스터 서바이벌 파크,2
867,슈퍼윙스키즈카페 수원영통점,13
868,스크린골프 카카오 은계,5
869,스타벅스 새문안로점,2
870,스타벅스 용인에버랜드R점,8
871,스타필드 안성 찜질스파,6
872,스파렉스24시 불가마사우나,6
873,스포애니 수내점,5
874,스포츠몬스터,6
875,스포츠몬스터 안성점,5
876,시민공원,1
877,시화나래조력공원,1
878,시흥갯골생태공원,1
879,시흥배곧한울공원,1
880,시흥오이도박물관,2
881,식품명인체험홍보관,13
882,신대호수,1
883,신덕고개,7
884,신륵사관광지,2
885,신매대교 인증센터,13
886,신북리조트 스프링폴,6
887,신북리조트스프링폴 야외워터파크,6
888,신사개나리공원,1
889,신장쇼핑몰,8
890,신촌 스타트업 페스티벌,8
891,실학박물관,2
892,심곡서원,2
893,심학산 약천사,2
894,심학산둘레길,7
895,싸리제골,1
896,쌀창고등학교(팝업스토어),13
897,쌈지길,13
898,써니롤러스케이트장,5
899,씨사이드파크,1
900,아난티코드,5
901,아라타워,13
902,아름다운청년전태일기념관,2
903,아모레 성수,13
904,아차산,7
905,아차산 4보루,1
906,아차산1보루,7
907,아차산생태공원,1
908,아차산큰바위얼굴,1
909,아침고요가족동물원,13
910,아침고요수목원,1
911,아쿠아가든카페 미사점,13
912,아쿠아플라넷,6
913,아쿠아플라넷 광교,6
914,아쿠아플라넷 일산,6
915,아쿠아플라넷63,6
916,아쿠아필드 안성,6
917,아쿠아필드 하남,6
918,아트스페이스 광교,8
919,아트스페이스 트인,13
920,안국역 3호선 2번출구,7
921,안다즈 서울강남 수영장,6
922,안다즈호텔 서울강남 수영장,6
923,안산,1
924,안산대부광산퇴적암층,1
925,안산자락길,1
926,안성구포동성당,2
927,안성맞춤랜드,8
928,안성맞춤랜드 숲속공연장,13
929,안성맞춤랜드 잔디공원,1
930,안성맞춤박물관,2
931,안성천,7
932,안성팜랜드,6
933,안성향교,2
934,"안양박물관, 김중섭박물관",2
935,안양예술공원,1
936,안양천,7
937,안양천 가족정원,1
938,안중근공원,1
939,안효공심온선생묘,2
940,안흥지 애련정,1
941,알로하피크닉&키즈카페,13
942,야당역 인근 산책로,7
943,약사사,2
944,양강섬,7
945,양근휴게소 인증센터,13
946,양명교,7
947,양수역 근처 남한강 산책길,7
948,양재근린공원,1
949,양재시민의숲,1
950,양주 천만송이천일홍축제,8
951,양주 천보산 산림욕장,1
952,양주 천일홍 축제(나리공원),8
953,양주관아지,2
954,양주나리농원,1
955,양주대모산성,2
956,양주전통문화축제,8
957,양평 양떼목장,13
958,양평곤충박물관,2
959,양평양떼목장,13
960,양화한강공원,1
961,어거스트 청평,5
962,어메이징파크,13
963,어반리프,13
964,어울림공원,1
965,어촌마을,7
966,에델바이스 스위스 테마파크,6
967,에버랜드,6
968,에버랜드 T익스프레스,6
969,에버랜드 그랜드엠포리엄,6
970,에버랜드 로스트밸리,6
971,에버랜드 롤링엑스트레인,6
972,에버랜드 매직타임레스토랑,6
973,에버랜드 매표소,6
974,에버랜드 블러드시티,6
975,에버랜드 아마존익스프레스,6
976,에버랜드 애니멀원더스테이지,6
977,에버랜드 에스파 포토존,6
978,에버랜드 정문,6
979,에버랜드 카니발광장,6
980,에버랜드 콜롬버스 대탐험,6
981,에버랜드 판다월드,6
982,에버랜드 포시즌스가든,6
983,에버렌드 랩터 레인저,6
984,에스팩토리,13
985,엑스라이프,5
986,엔피아,5
987,여강길 10코스(천년도자길),7
988,여유당,2
989,여의도 문화잇지오 행사장 및 시민공연,8
990,여의도 한강공원,1
991,여의도계절광장,1
992,여의도공원,1
993,여의도공원 롱기스트런,13
994,여의도역근처,7
995,여의도한강공원,1
996,여주곤충박물관,2
997,여주농촌테마공원 본관,6
998,여주리틀야구장,1
999,여주보,1
1000,여주보 인증센터,13
1001,여주오곡나루축제,8
1002,여호와의증인 이태원왕국회관,2
1003,연꽃테마파크,6
1004,연무대 관광안내소,2
1005,"연세로,홍익문고,독수리다방, 연세대,윤동주기녕관등",2
1006,연인산 계곡,1
1007,연인산도립공원,1
1008,연천 삼곶리돌무지무덤,2
1009,연천 전곡리국화축제,8
1010,연천 전곡리유적 구석기체험숲,13
1011,연천당포성,2
1012,연천수레울아트홀,13
1013,연천양원리고인돌,2
1014,연천율무축제,8
1015,연천은대리성,1
1016,연천전곡리선사유적지,2
1017,연천호로고루,2
1018,연희자연마당,1
1019,열두개울 둘레길,7
1020,열린녹지광장,1
1021,열린송현녹지광장,7
1022,영녕릉 세종대왕유적지구 세종대왕릉,2
1023,영녕릉세종대왕 유적지구,2
1024,영등포공원,1
1025,영월공원,7
1026,영종씨사이드 레일바이크,13
1027,영종씨사이드파크 바다자전거,6
1028,예래원,6
1029,예술공원로,1
1030,예스파크,8
1031,예스파크 이천도자예술마을,7
1032,오감캠프촌,13
1033,오남저수지,1
1034,오두산통일전망대,1
1035,오디티모드 신라스테이 광화문점,13
1036,오리서원,2
1037,오산EBS캐릭터공원,1
1038,오산근린공원,1
1039,오산맑음터공원,1
1040,오산에코리움,6
1041,오산천,7
1042,오성읍구경,7
1043,오아시스,2
1044,오이도,7
1045,오이도 바다,7
1046,오이도 바닷가,7
1047,오이도 빨강등대,1
1048,"오이도 빨강등대, 생명의나무전망대",7
1049,오이도기념공원,1
1050,오이도박물관,2
1051,오이도선사유적공원,2
1052,오이도해양단지,13
1053,오즈의마법사테마공원,6
1054,오케이당구장,5
1055,오패산나들길,7
1056,옥구공원,1
1057,"옥구공원, 옥구공원 반려견놀이터, 조각공원",1
1058,옥녀봉,1
1059,옥정중앙공원,1
1060,옥천레포츠공원,1
1061,"옥천암, 홍지문",2
1062,온누리교회,2
1063,온릉,2
1064,온온사,2
1065,올림픽공원,1
1066,올림픽공원 88잔디마당,1
1067,올림픽공원 SK핸드볼경기장,5
1068,올림픽공원 테니스경기장,5
1069,옹달샘어린이공원,1
1070,와룡공원,1
1071,와우정사,2
1072,왕방계곡,1
1073,왕송호수,1
1074,왕숙천,7
1075,용문사,1
1076,용문산,1
1077,용문산관광지,1
1078,용문산자연휴양림,1
1079,용봉산,2
1080,용산 국립중앙박물관,2
1081,용산가족공원,1
1082,용산공원 부분개방부지,1
1083,용산구청,7
1084,용산기지 미군장교숙소 부지 입구,2
1085,용산역사박물관,2
1086,용소폭포,1
1087,용암리 계곡,1
1088,용암천,1
1089,용암천 산책로,7
1090,용양봉저정공원,1
1091,용연,2
1092,용인곤충테마파크,6
1093,용인농촌테마파크,6
1094,용인백자축제,8
1095,용인보정동 고분군,2
1096,용인어린이상상의숲,6
1097,용인자연휴양림,1
1098,용인조정경기장,5
1099,용주사,2
1100,용추계곡,1
1101,용추폭포,1
1102,우산각어린이공원,1
1103,우이교,7
1104,우이동 만남의광장,7
1105,우장산공원산책길,7
1106,운길산콩마을,7
1107,운동기구들이 있는 공원,1
1108,운악망경 제6경,7
1109,운악산(현등산),1
1110,운악채한옥마을,7
1111,운정호수공원,1
1112,운주사,2
1113,운현궁,2
1114,웅진플레이도시,6
1115,워커힐길,7
1116,워터캐슬 하남미사점,6
1117,워터플레이 수상레저,5
1118,원두막주말농장,13
1119,원마운트 워터파크,6
1120,원적산,7
1121,원천호수,1
1122,원터,1
1123,원효대교북단교차로,8
1124,월곶미래탑광장,8
1125,월드컵공원,1
1126,월미공원,1
1127,월미공원 전망대,1
1128,월미공원 전망테크,1
1129,월미도,1
1130,월미도 놀이공원,6
1131,월미도등대길,1
1132,월미바다역,6
1133,월미산,1
1134,월미양궁연습장,6
1135,월미전통정원,1
1136,월미테마파크,6
1137,월암근린공원,1
1138,월정교,2
1139,웨스틴조선 서울 수영장,6
1140,웨스틴조선 수영장,6
1141,웨스틴조선 환구단,2
1142,웨스틴조선호텔 서울 수영장,6
1143,웨이브서프,5
1144,웨이브파크,6
1145,위곡골,1
1146,위례성길,7
1147,위례스타필드 2층 토이플러스,6
1148,위례스타필드 지하 1,6
1149,유리섬박물관,2
1150,유명골프클럽,5
1151,유명산,1
1152,유명산계곡,1
1153,윤동주시인의언덕,1
1154,율곡수목원,1
1155,율곡습지공원,1
1156,율동공원,1
1157,"율동공원, 책테마파크",6
1158,율봄식물원,6
1159,융건릉 융릉건릉역사문화관,2
1160,은이성지,2
1161,은평역사한옥박물관,2
1162,은평한옥마을,7
1163,을왕리해수욕장,1
1164,응봉산 팔각정,7
1165,의공고 벽화조명,7
1166,이랜드크루즈,5
1167,이룸채오피스텔,8
1168,이봉창의사역사울림관,2
1169,이상의집,2
1170,"이상한 변호사 우영우, 그 해 우리는 - 촬영지",2
1171,이상한변호사우영우 드라마 촬영지 우영우김밥집,2
1172,이스케이프9 본사,13
1173,이천농업테마공원,6
1174,이천도자기축제,8
1175,이천산수유마을,7
1176,이천산수유마을  산수유 에코백 만들기 체험,13
1177,이천산수유마을 산수유숲길 걷기체험,13
1178,이천시립박물관,2
1179,이천쌀문화축제,8
1180,이촌한강공원,1
1181,이충문화체육센터,5
1182,이탈리아마을(피노키오와다빈치),6
1183,이태원역교차로,8
1184,이태원클라스촬영지(날개벽화),2
1185,익선동 골목,7
1186,인사이트모션 한옥마을,7
1187,인생네컷 용인에버랜드1호점,6
1188,인왕산,1
1189,인왕산 범바위,7
1190,인왕산 수성동계곡,1
1191,인왕산 자락길 입구,7
1192,인왕산둘레길,7
1193,인왕산자락길,1
1194,인천 개항장문화재야행,8
1195,인천 펜타포트락페스티벌,8
1196,인천SSG랜더스필드,5
1197,인천개항누리길,2
1198,인천개항박물관,2
1199,인천계양체육관,5
1200,인천광역시립박물관,2
1201,인천내리교회,2
1202,인천대공원,1
1203,인천대공원 목재문화체험관,13
1204,인천대공원 어린이동물원,1
1205,인천도시역사관,2
1206,인천둘레길 10코스,7
1207,인천둘레길 12코스,7
1208,인천문학경기장,5
1209,인천상륙작전기념관,2
1210,인천세관역사공원,2
1211,인천수목원,1
1212,인천시민애집,2
1213,"인천시민애집,인천구락부",2
1214,인천아트플랫폼,2
1215,인천종합관광안내소,13
1216,인천차이나타운,2
1217,인천축구전용경기장,5
1218,인천항갑문,1
1219,인천향교,2
1220,인천화교역사관,2
1221,인천환경공단 송도스포츠파크,5
1222,인청항 제 1부두 둘레길,7
1223,일산문화광장,8
1224,일산비버리빌리지,7
1225,일산호수공원,1
1226,일산호수공원가로수길,7
1227,일상비일상의틈,13
1228,일일 농장체험,13
1229,일일농장,13
1230,임진각 수풀누리,8
1231,임진각 전망대 및 경의선 장단역증기기관차,2
1232,임진각 평화누리,1
1233,임진각관광지,13
1234,임진각관광지 바람의언덕,1
1235,임진각두부마을,7
1236,임진각평화곤돌라,13
1237,임진각평화누리전통놀이체험장,13
1238,임진강 독개다리,2
1239,임진강 평화 전망대,2
1240,임진강댑싸리공원,1
1241,임진강주상절리,1
1242,임진강주상절리카약,13
1243,잇츠콜라박물관,2
1244,자라섬,8
1245,자라섬 voyage 축제 음식 부스 방문,8
1246,자라섬 꽃테마공원,6
1247,자라섬 블루문,8
1248,자라섬재즈페스티벌,8
1249,자매공원,1
1250,자연경관,1
1251,자유공원,1
1252,자유공원 맥아더장군동상,2
1253,자유공원 산책로,7
1254,잔상,7
1255,잠실 롯데월드타워 월드파크,13
1256,잠실공원,1
1257,잠실역지하상가,5
1258,잠실종합운동장,5
1259,잠실종합운동장 실내체육관,5
1260,잠실종합운동장 올림픽주경기장,5
1261,잠실종합운동장 잠실야구장,5
1262,잠실한강공원,1
1263,잠원한강공원,1
1264,잣고을광장,13
1265,장경리해변,1
1266,장도포대지,1
1267,장릉,2
1268,장미뜨레,8
1269,장승다담공원,1
1270,장안공원,1
1271,장안공원 화서문,1
1272,장안문,2
1273,장자어린이공원,1
1274,장자호수공원,7
1275,장지천,5
1276,장충단공원,1
1277,장통교 진출입 계단 5번,7
1278,장항습지,13
1279,장흥관광지,8
1280,장흥조각공원,1
1281,재인폭포,1
1282,재즈페스티벌,8
1283,잭니클라우스골프클럽코리아,8
1284,전곡선사박물관,2
1285,전등사,2
1286,전쟁기념관,2
1287,전쟁기념관 어린이박물관,2
1288,전통술박물관산사원 본원,2
1289,전통주갤러리,2
1290,정도가 이천 도자기체험공방,13
1291,정동길,7
1292,정발산,1
1293,정서진광장,1
1294,정암수목공원,7
1295,정약용유적지,2
1296,정약용유적지 생가,2
1297,정원속화실담다,13
1298,정평천자전거길,7
1299,제물포구락부,2
1300,제부도,2
1301,제부도 매바위,7
1302,제부도 빨간등대,1
1303,제부도 워터워크,2
1304,제부도 제비꼬리 둘레길,7
1305,제부도해수욕장,1
1306,제부도해안산책로,7
1307,제이드가든수목원,1
1308,제일바다낚시,13
1309,제일유황온천,6
1310,조계사,2
1311,종묘,2
1312,종묘 외 시티투어,2
1313,종묘-창경궁 산책로,7
1314,좌상바위,1
1315,주교좌 답동성바오로성당,2
1316,주렁주렁 동탄라크몽점,6
1317,주렁주렁 하남점,13
1318,주록리마을회관,2
1319,주변일대 단풍구경 및 산책,7
1320,주주팜,13
1321,죽림동 주교좌성당,2
1322,죽미령평화공원,1
1323,죽백근린공원,1
1324,죽산순교성지,2
1325,죽주산성,2
1326,중남미문화원,2
1327,중랑장미공원,1
1328,중미산천문대,13
1329,중앙공원,1
1330,중앙탑사적공원,1
1331,중원계곡,1
1332,중원산,1
1333,지동벽화마을,7
1334,지지배배한복 2호점,2
1335,지진옥외대피장소 옹달샘(어린이)공원,1
1336,직동근린공원,1
1337,진관사,2
1338,짜장면박물관,2
1339,차이나타운,2
1340,차차티클럽 창신한옥,13
1341,착한붕어 낚시카페,13
1342,창경궁,1
1343,창경궁 대온실,1
1344,창덕궁,2
1345,창덕궁 돈화문,2
1346,창덕궁 후원,2
1347,창룡문,2
1348,창룡문 ~ 동장대 (성곽길),7
1349,창릉천,8
1350,창산수목원,1
1351,천마산 수진사입구분기점,1
1352,천마정,5
1353,천왕산캠핑장,1
1354,천주교남한산성순교성지,2
1355,천주교분당성요한성당,2
1356,천주교서울대교구 주교좌 명동대성당,2
1357,천진암 성지,2
1358,철도박물관,2
1359,철원한탄강 주상절리길,1
1360,철원한탄강 주상절리길 드르니매표소,1
1361,첨성대,2
1362,청계광장,7
1363,청계광장과 서울시청광장,7
1364,청계사,2
1365,청계산,1
1366,청계산 이수봉,1
1367,청계산등산로입구,7
1368,청계천,7
1369,청계천 장통교 진출입 계단 5번,7
1370,"청계천,sfc몰(온센)",7
1371,청계천한빛광장,7
1372,청라호수공원,1
1373,청량산,1
1374,청성역사공원,2
1375,청와대,2
1376,청와대  본관 영빈관등,2
1377,청와대 대통령관저,2
1378,청와대 본관,2
1379,청와대 영빈관,2
1380,청와대 정문,2
1381,청와대 춘추관,2
1382,청와대 춘추문,1
1383,청와대전망대,7
1384,청운문학도서관,2
1385,청일조계지경계계단,2
1386,청춘한복아랑,13
1387,청평사,2
1388,청평자연휴양림,7
1389,청평호,1
1390,청학동계곡,7
1391,초당옥도나스,1
1392,초막골생태공원,1
1393,초정어린이공원,1
1394,축령산,1
1395,춘원이광수기념비,2
1396,춘천삼악산호수케이블카,6
1397,춘천중도물레길,5
1398,충목단,2
1399,충장근린체육공원 테니스장,5
1400,충헌공김구선생묘,2
1401,충현박물관,2
1402,충현역사공원,2
1403,치유의숲,1
1404,칠곡저수지,7
1405,칠궁,2
1406,칠보산,1
1407,카자구루마,2
1408,카카오스크린골프&펍 위례점,5
1409,카카오판교아지트,8
1410,카페8794 용인점,13
1411,카페시차,1
1412,캐나다 전투기념비,13
1413,캐리비안베이,6
1414,캐치스톤클라이밍짐,5
1415,캠프월드레저,5
1416,캠프통포레스트,5
1417,커낼웨이 수변공원 및 청라호수공원,1
1418,커피마을,7
1419,커피온더레일,13
1420,케이스포돔 올림픽체조경기장,5
1421,코드케이 홍대점,13
1422,코마린 이스트보트하우스 송도지점,5
1423,코엑스,8
1424,코엑스 아쿠아리움,6
1425,콤콤오락실,13
1426,콩글리쉬카페,13
1427,콩치노 콩크리트,13
1428,클라임바운스 수원점,5
1429,키자니아 서울,6
1430,킨텍스,8
1431,타이포레,13
1432,탄도어촌체험마을,13
1433,탄도항,1
1434,탄밤,2
1435,탄요공원,1
1436,탄천민물고기습지생태원,1
1437,탄천자전거길,1
1438,탑골공원,1
1439,태풍전망대,2
1440,테르메덴,6
1441,테르메덴 실외온천풀,6
1442,테이크호텔 수영장,6
1443,통일동산 장어마을,7
1444,통일동산두부마을,7
1445,통일바라기축제,8
1446,트라이보울,2
1447,파라다이스시티,7
1448,파라다이스시티 수영장,6
1449,파라다이스시티 원더박스,6
1450,파리공원,1
1451,파사성,2
1452,파주DMZ곤돌라,2
1453,파주공룡박물관,2
1454,파주삼릉,2
1455,파주프리미엄아울렛,8
1456,파주헤이리마을 미지로의탐험,13
1457,파평코스모스축제,8
1458,팔달구 남창동 동사무소앞 인도 산책길,7
1459,팔달문,2
1460,팔달산,1
1461,팔미도유람선,5
1462,팟알,2
1463,패킷,13
1464,퍼스트가든,6
1465,퍼스트보드게임카페 구월점,13
1466,펀시티,6
1467,페어몬트 앰배서더 서울 헬스장,5
1468,펠리씨떼,13
1469,평강랜드,6
1470,평촌중앙공원,1
1471,평택시농업생태원,13
1472,평택햇살들주말농장,13
1473,평택호 둘레길,7
1474,평택호관광단지,1
1475,평택호예술공원,1
1476,평화누리공원 바람의언덕,1
1477,평화랜드,6
1478,평화의공원,1
1479,포레스트파크,13
1480,포메인 에버랜드직영점,6
1481,포메인레드 에버랜드점,6
1482,포은 정몽주 선생 묘 (지역축제 포은문화제 개최),2
1483,포천 가람누리  문화공원,1
1484,포천5일장,8
1485,포천반월성,2
1486,포천산정호수명성산 억새꽃축제,8
1487,포천아트밸리,1
1488,포천천,1
1489,포천한탄강하늘다리,1
1490,포토드링크이태원,13
1491,포토하임,13
1492,포트링공방,13
1493,프렌즈스크린 덕소점,5
1494,프렌즈스크린 진접로얄점,5
1495,프로방스마을,7
1496,플라잉수원,13
1497,플랜디,6
1498,플레이 더월드 강남점,6
1499,플레이아쿠아리움 부천,6
1500,플레이티카,6
1501,피노키오와다빈치,6
1502,피우리하우스,13
1503,피치스 도원,13
1504,피커스 구로점,5
1505,필라델피아,7
1506,필룩스조명박물관,2
1507,하남ICEBOX,5
1508,하남나무고아원,1
1509,하남역사박물관,2
1510,하남위례길 제2코스(위례강변길),7
1511,하남유니온파크,7
1512,하남이성산성,2
1513,하늘공원,1
1514,하늘공원 가는길,7
1515,하늘공원 메타세콰이어길,7
1516,하늘공원 하늘계단,1
1517,"하늘공원, 맹꽁이 전동차 탑승",1
1518,하늘능선근린공원,7
1519,하이커그라운드,13
1520,하피랜드,1
1521,한강,7
1522,한강 조깅,1
1523,한강3경 이포보전망대,1
1524,한강공원삼패지구,1
1525,한강공원압구정나들목 진출입로2,7
1526,한강중앙공원,1
1527,한국SGI 이케다기념강당,2
1528,한국근대문학관,2
1529,한국근현대사박물관,2
1530,한국기독교 100주년기념교회,2
1531,한국기독교100주년기념탑,2
1532,한국대중음악박물관 서울점,2
1533,한국도자재단 경기도자박물관,2
1534,한국만화박물관,2
1535,한국민속촌,6
1536,한국은행 본부,13
1537,한국은행 화폐박물관,2
1538,한국이민사박물관,2
1539,한국이슬람교 서울중앙성원,2
1540,한국잡월드,13
1541,한길 북하우스,2
1542,한남동 골목,7
1543,한내근린공원,1
1544,한복 입고 규방 컨셉 스튜디오,2
1545,한성백제박물관,2
1546,한식문화공간이음,13
1547,한아름공원,1
1548,한양도성박물관,2
1549,한울공원 해수풀장,6
1550,"한중문화관, 화교역사관, 인천 박물관 거리",2
1551,한탄강 지질공원센터,1
1552,한탄강지질공원,1
1553,한탄강하늘다리,1
1554,한탄임진강지질공원,1
1555,한택식물원,6
1556,한화와 함께하는 불꽃축제,8
1557,할리데이비슨코리아 용인점,5
1558,항일운동기념탑,1
1559,해돋이공원,1
1560,해오라기어린이공원,1
1561,해자연캠핑장,1
1562,해찬솔공원,1
1563,해피주 동물카페 영통점,13
1564,햇반 쌀창고 팝업스토어,13
1565,햇살들귀농교육원,13
1566,행궁동벽화마을,7
1567,행궁파티,2
1568,행궁파티 '그 해 우리는' 드라마 촬영지,2
1569,행리단길,2
1570,행주산성,2
1571,행주산성공원,1
1572,행주산성역사공원,1
1573,향남힐링스파,13
1574,허브아일랜드,6
1575,허브아일랜드 가든,8
1576,허브아일랜드 베네치아존,13
1577,허브아일랜드 불빛동화축제,8
1578,허브아일랜드 산타마을,7
1579,허브아일랜드 핑크뮬리축제,8
1580,허브아일랜드 향기존,13
1581,허브와풍뎅이,13
1582,헤이리농원,13
1583,헤이리마을 영화박물관,2
1584,헤이리무장애노을숲길,7
1585,헤이리예술마을,7
1586,현대모터스튜디오 고양,6
1587,현대프리미엄아울렛 김포점 회전목마,6
1588,혜화문,2
1589,혜화역 4호선,8
1590,호계체육관,5
1591,호명산,7
1592,호명산잣나무숲속캠핑장 인근,7
1593,호명호수,1
1594,호명호수공원,1
1595,호수공원 놀이터,13
1596,호수공원 식물원 수피아,1
1597,호수정감,1
1598,호텔신북온천,6
1599,홍건익가옥,2
1600,홍대 아뜰리에 여름,2
1601,홍익대학교 서울캠퍼스,7
1602,홍재교,7
1603,홍제동마을둘레길,7
1604,화담숲,1
1605,화담숲 곤충생태관,1
1606,화랑공원,1
1607,화랑대철도공원,6
1608,화랑유원지,1
1609,화서공원,7
1610,화서문,7
1611,화성 어차 매표소,2
1612,화성관광열차안내소 연무대매표소,6
1613,화성둘레길,2
1614,화성상록GC,5
1615,화성시역사박물관,2
1616,화성시우리꽃식물원,6
1617,화성어차 팔달산 매표소,13
1618,화성어차탑승,13
1619,화성융릉과건릉,2
1620,화성종합경기타운,8
1621,화성행궁,2
1622,화성행궁 관람,2
1623,화성행궁광장,2
1624,화악산,1
1625,화적연,1
1626,화적연 플로깅,13
1627,화홍사랑채,13
1628,환구단,7
1629,황룡산,7
1630,황리단길 청온채,7
1631,황새울 공원,1
1632,황순원문학관 소나기마을,7
1633,황포돛배,13
1634,황희선생유적지,2
1635,회룡계곡,1
1636,회룡문화공원,1
1637,회룡사,2
1638,회암사지,2
1639,회암사지박물관,2
1640,효원공원,1
1641,효원공원 월화원,1
1642,효자로 가을단풍길,7
1643,효창공원,1
1644,후암동 일대,7
1645,흔들바위,2
1646,흥인지문,2
1647,흥인지문공원,1
1648,히어로키즈파크 동탄지점,6
1649,힐튼가든인 서울강남점,5
